Product Name,Category,Purchase Date,Quantity,Price,CustomerID,zipcode,discountApplied,Cluster
Lamp,Home & Living,2023-02-11,3,855.71,7599,13672,False,2
Bed,Home & Living,2023-04-28,5,652.67,7599,13672,True,1
Body Lotion,Beauty & Health,2023-05-07,4,318.05,6816,99342,True,1
Cycling Helmet,Sports & Outdoors,2023-07-11,5,885.25,7343,5123,True,1
Laptop,Electronics,2022-11-05,4,883.85,4816,34018,True,2
Shampoo,Beauty & Health,2023-04-02,2,960.12,4816,34018,False,2
Laptop,Electronics,2022-11-06,1,705.96,4816,34018,False,2
Laptop,Electronics,2023-01-07,3,921.08,4816,34018,False,2
Cookware,Home & Living,2023-06-01,2,328.65,4816,34018,False,0
Smartphone,Electronics,2023-05-23,2,720.98,2748,62381,False,2
Shirt,Fashion,2023-08-02,2,385.88,2748,62381,False,0
Basketball,Sports & Outdoors,2023-05-25,3,730.64,2748,62381,False,2
Tennis Racket,Sports & Outdoors,2023-09-06,2,733.2,3983,75125,True,2
Romance Novel,Books,2023-10-07,2,209.22,3983,75125,False,0
Cookware,Home & Living,2023-06-17,4,303.58,3983,75125,False,1
Biography,Books,2023-07-01,5,541.66,3983,75125,False,1
Perfume,Beauty & Health,2023-01-15,3,579.9,7881,52323,True,2
History,Books,2023-07-31,2,978.59,7881,52323,False,2
Camera,Electronics,2023-02-20,4,32.94,7881,52323,True,1
Shoes,Fashion,2023-09-16,3,804.95,2603,47416,False,2
Body Lotion,Beauty & Health,2023-03-17,3,109.41,2603,47416,True,0
Perfume,Beauty & Health,2023-02-03,2,466.61,2603,47416,False,0
Camera,Electronics,2023-01-17,5,68.56,1882,96694,True,1
Basketball,Sports & Outdoors,2023-05-30,1,782.63,1882,96694,True,2
Perfume,Beauty & Health,2023-09-30,5,674.01,1882,96694,False,1
Tennis Racket,Sports & Outdoors,2022-12-03,2,935.65,1882,96694,True,2
History,Books,2023-01-28,1,93.72,7192,96686,True,0
Cookware,Home & Living,2023-04-18,2,53.04,7192,96686,True,0
Laptop,Electronics,2023-04-07,5,833.82,7192,96686,True,1
Yoga Mat,Sports & Outdoors,2023-10-08,4,135.65,7192,96686,True,1
Biography,Books,2023-09-23,1,299.66,7192,96686,False,0
Shampoo,Beauty & Health,2022-12-18,5,275.88,4809,81687,True,1
Bed,Home & Living,2023-10-21,3,804.92,4809,81687,False,2
Handbag,Fashion,2023-04-16,3,878.38,4809,81687,True,2
Nail Polish,Beauty & Health,2022-11-11,1,702.41,4809,81687,False,2
History,Books,2023-05-09,5,441.64,4809,81687,False,1
Lamp,Home & Living,2023-09-22,3,994.92,4682,59120,True,2
Nail Polish,Beauty & Health,2023-10-08,4,317.64,9328,66001,False,1
Smartwatch,Electronics,2022-11-07,1,704.6,9328,66001,False,2
History,Books,2023-06-28,5,206.76,9328,66001,False,1
Camera,Electronics,2023-07-02,2,421.99,9328,66001,False,0
Lamp,Home & Living,2023-09-28,2,450.92,9328,66001,True,0
Cycling Helmet,Sports & Outdoors,2023-06-29,5,107.08,4952,31778,True,1
Yoga Mat,Sports & Outdoors,2023-08-16,1,688.73,4952,31778,True,2
Headphones,Electronics,2023-08-21,2,446.69,4952,31778,True,0
Dining Table,Home & Living,2023-10-20,1,721.92,4952,31778,False,2
Nail Polish,Beauty & Health,2023-08-20,3,201.02,4952,31778,False,0
Sofa,Home & Living,2023-08-16,5,938.32,7099,18038,False,1
Cycling Helmet,Sports & Outdoors,2022-11-11,1,585.46,4982,1019,False,2
Cookware,Home & Living,2023-05-25,3,893.59,4982,1019,False,2
Headphones,Electronics,2023-07-30,5,377.21,6474,27528,False,1
Yoga Mat,Sports & Outdoors,2023-10-25,1,541.59,6474,27528,True,0
Headphones,Electronics,2022-12-16,5,727.01,6474,27528,False,1
